participant_id|gender|birthyear|education|aut1|aut2|aut3|aut4|comp1|comp2|comp3|comp4|rel1|rel2|rel3|rel4|rel5|PVQ_M_1|PVQ_M_2|PVQ_M_3|PVQ_M_4|PVQ_M_5|PVQ_M_6|PVQ_M_7|PVQ_M_8|PVQ_M_9|PVQ_M_10|PVQ_M_11|PVQ_M_12|PVQ_M_13|PVQ_M_14|PVQ_M_15|PVQ_M_16|PVQ_M_17|PVQ_M_18|PVQ_M_19|PVQ_M_20|PVQ_M_21|PVQ_K_1|PVQ_K_2|PVQ_K_3|PVQ_K_4|PVQ_K_5|PVQ_K_6|PVQ_K_7|PVQ_K_8|PVQ_K_9|PVQ_K_10|PVQ_K_11|PVQ_K_12|PVQ_K_13|PVQ_K_14|PVQ_K_15|PVQ_K_16|PVQ_K_17|PVQ_K_18|PVQ_K_19|PVQ_K_20|PVQ_K_21|llm_aut_rep1|llm_aut_rep2|llm_aut_rep3|llm_com_rep1|llm_com_rep2|llm_com_rep3|llm_rel_rep1|llm_rel_rep2|llm_rel_rep3
1_1p|2|1999|6|4|4|2|4|4|4|4|3|4|4|3|4|3|3|3|1|4|3|2|2|1|2|2|2|2|3|2|4|3|3|2|2|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|1|1|1|3|3|4
2_1p|2|1965|4|3|3|3|3|4|4|3|3|3|4|4|3|4|2|5|3|4|3|4|4|3|4|5|3|4|5|3|4|3|4|4|4|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|3|3|3
3_1p|2|1968|6|5|5|5|5|5|5|5|5|5|5|5|5|5|2|1|1|3|3|3|6|1|1|3|1|2|4|2|2|2|4|1|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|3|2|2|3|3|3|3
4_1p|2|1990|6|1|1|1|1|1|1|1|2|1|1|1|1|1|1|5|1|3|4|1|1|1|1|1|1|1|3|1|1|5|3|1|1|1|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|4|4|4
5_1p|2|1994|5|2|3|2|3|2|4|3|2|2|2|3|2|2|4|3|3|3|2|3|1|2|2|3|3|1|4|3|3|5|3|4|3|1|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|3|3|2|3|3|3
8_1p|1|1995|6|2|4|3|4|1|4|3|2|1|1|1|4|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|2|4|4|2|1|4|2|3|3|4|2|3|5|3|1|2|3|2|2|2|2|2|3|3|2|4|4|4
9_1p|1|1982|3|4|5|4|4|5|4|4|4|4|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|5|1|6|3|3|2|2|3|2|1|1|5|3|3|3|4|1|1|4|1|3|3|3|3|3|3|4|4|4
11_1p|2|1974|5|3|3|2|4|4|4|2|3|4|3|4|4|4|4|1|5|3|2|5|4|2|3|4|3|3|2|1|3|3|4|2|4|2|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|3|3|3
13_1p|1|1994|4|4|4|1|4|3|5|5|5|3|3|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|4|3|2|1|1|1|1|3|2|1|1|3|2|4|4|2|4|4|2|3|2|2|2|3|3|3|3|3|3
14_1p|1|1992|3|4|3|3|4|4|4|4|4|4|4|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|1|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3|3|3|3|3
18_1p|2|1994|3|3|3|2|3|4|3|4|4|3|3|2|2|4|4|5|3|3|5|6|5|4|3|6|4|1|5|6|6|2|3|3|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|4|3|4
19_1p|2|1987|5|3|3|3|3|2|3|3|3|4|3|4|3|3|3|3|2|3|3|3|3|4|3|4|4|3|4|4|4|4|4|4|4|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|3|3|3|3|3|4|4|4
21_1p|1|1974|6|3|4|3|4|4|4|4|4|3|3|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|1|4|2|3|2|1|2|4|2|1|4|4|3|1|1|2|2|4|1|4|4|4|3|3|3|4|4|4
22_1p|1|2007|3|2|2|4|4|4|5|5|4|3|3|4|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|4|2|4|2|3|2|1|3|5|1|1|4|2|4|1|3|1|4|1|3|3|3|3|2|2|2|4|4|4
1_2p|1|1973|6|5|5|5|5|5|5|4|3|5|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|6|1|5|1|3|4|3|1|5|1|1|4|2|3|1|4|2|1|4|4|3|3|3|2|2|2|4|4|4
2_2p|1|2005|3|4|4|4|4|4|5|4|4|4|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|3|2|2|3|3|4|1|2|1|2|2|2|1|2|2|2|1|1|3|2|2|2|2|2|2|2|4|4|4
3_2p|1|1996|3|5|5|3|5|4|3|4|4|4|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|1|1|4|1|1|3|2|1|1|1|2|1|1|2|3|1|1|1|1|1|4|4|4|3|3|4|3|3|3
4_2p|1|1989|5|3|3|4|4|4|2|4|2|4|4|2|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|6|1|6|1|3|4|1|1|4|3|3|3|2|2|3|3|3|3|3|3|2|2|2|2|2|2|3|3|3
5_2p|1|1998|5|3|4|2|4|2|4|4|3|4|3|4|5|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|1|1|3|1|4|2|2|1|2|1|1|4|2|4|4|2|1|1|1|3|3|3|3|3|3|3|3|3|3
6_2p|1|1986|3|2|3|3|3|3|4|4|4|4|3|2|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|5|4|4|4|3|4|4|4|4|4|3|3|3|4|4|4|4|1|1|2|2|2|2|3|3|3|3|3|3
7_2p|1|1972|1|4|4|4|4|4|4|4|4|4|3|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|4|3|3|4|3|4|6|5|4|3|3|1|5|4|3|4|4|3|3|4|4|4|3|3|3|4|4|4
8_2p|1|1987|6|3|2|3|4|4|5|4|4|4|3|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|3|3|3|3|4|2|3|3|4|3|4|5|5|3|3|3|3|4|5|3|3|4|4|3|3|3|3|3|3
10_2p|2|1987|4|4|4|4|4|3|4|3|4|4|4|3|3|4|4|2|3|3|3|4|4|3|3|3|3|3|4|3|4|3|3|4|3|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|2|3|2|3|3|3|3
11_2p|1|1993|6|3|4|1|2|3|3|1|4|2|2|3|2|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|5|3|3|5|2|2|4|4|2|2|3|4|6|5|2|1|4|5|4|2|2|3|2|3|3|3|4|4|4
12_2p|2|1990|6|4|4|4|4|4|5|5|4|5|4|4|4|4|2|1|2|2|2|1|3|2|2|2|2|2|2|3|4|1|1|2|2|2|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|4|4|4
17_2p|2|1992|6|4|3|4|4|5|5|4|5|5|4|5|5|5|1|1|4|3|2|2|3|1|2|2|2|2|2|3|1|3|2|2|1|2|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|2|3|4|4|4
18_2p|1|1994|3|5|3|4|3|3|4|3|3|3|4|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|2|5|3|2|4|4|4|4|3|3|3|1|3|3|1|1|1|1|2|2|2|2|3|3|3|3|3|3
21_2p|1|1999|6|4|3|3|4|5|4|5|3|5|3|3|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|5|2|4|5|2|4|2|4|3|2|2|3|3|2|5|3|1|1|4|2|2|2|2|2|2|2|3|3|3
22_2p|2|1967|5|4|3|3|4|4|4|3|4|4|4|4|3|4|5|3|5|3|4|4|2|4|2|4|4|4|3|2|3|2|2|4|3|2|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|2|2|2|4|4|4
1_3p|1|2002|3|3|4|4|5|5|5|4|5|5|4|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|1|2|3|1|4|1|3|1|2|2|2|3|2|3|3|1|3|2|1|2|2|2|2|2|2|4|4|4
2_3p|1|1997|4|5|5|5|5|4|4|3|3|4|4|4|3|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|4|4|3|3|1|3|3|2|2|1|3|3|4|3|3|2|3|3|2|2|2|2|2|2|2|5|5|5
3_3p|2|1967|8|3|3|4|4|4|4|4|4|4|4|4|4|3|3|2|3|5|4|4|4|3|4|5|3|4|5|2|5|1|4|1|5|4|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|3|3|3
7_3p|2|1994|5|4|5|3|1|3|5|4|3|2|2|4|2|1|6|5|2|3|4|3|5|3|2|2|4|4|5|1|4|4|4|4|5|3|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|3|4|3
8_3p|2|1990|6|4|3|3|1|1|2|2|2|2|3|2|1|2|3|2|3|2|3|2|5|2|2|2|1|2|4|2|2|2|2|2|2|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|4|4|4
9_3p|1|1978|6|4|4|3|3|4|5|4|4|4|3|3|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|2|3|2|3|1|2|3|2|1|1|2|2|3|2|1|2|2|3|3|2|2|2|2|2|2|2|4|4|4
11_3p|1|1989|3|3|2|4|3|4|4|3|4|4|4|3|2|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|3|4|3|4|4|4|3|3|4|4|3|4|3|4|4|3|4|3|4|3|3|3|3|3|3|3|3|3
13_3p|1|1995|4|3|4|4|4|4|4|4|4|4|4|4|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|2|3|4|4|4|4|4|3|3|4|4|4|4|4|4|4|3|3|2|3|3|3|3|3|3|4|4|4
16_3p|2|1973|5|4|4|3|3|4|3|3|4|5|5|4|5|5|4|4|2|4|2|4|4|4|2|4|4|2|4|4|6|2|3|2|3|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|3|2|2|2|2|4|4|4
18_3p|1|1985|4|3|3|4|3|4|4|4|4|4|4|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|4|4|3|4|6|3|3|3|3|4|3|4|4|5|5|3|4|4|4|3|3|3|3|3|3|4|4|3
23_3p|1|2004|5|5|5|5|5|5|5|5|5|5|5|5|5|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|6|1|4|3|1|3|1|1|3|1|1|4|3|4|3|4|1|6|6|1|3|3|3|3|3|3|3|3|3
1_4p|2|1977|3|3|3|2|2|3|3|3|4|2|4|2|2|3|3|3|4|3|3|3|4|3|4|5|4|3|4|3|4|3|4|3|4|3|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|3|3|3
5_4p|1|1964|2|3|3|2|3|3|3|3|3|4|4|2|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|2|1|1|2|3|1|3|1|3|3|3|3|5|5|4|3|4|5|3|3|2|2|2|2|2|2|3|3|3
6_4p|1|1986|3|3|3|1|5|3|3|4|4|2|4|3|2|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|4|4|4|4|2|3|3|2|1|1|2|2|2|3|3|2|2|3|4|4|2|2|2|2|2|2|3|3|3
8_4p|2|1996|5|3|5|4|4|3|3|3|2|2|4|3|2|2|3|3|1|1|2|2|2|4|3|1|3|2|2|3|5|2|3|4|2|2|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|2|3|3|4|4|4
12_4p|2|1969|2|1|3|2|3|2|3|2|4|2|3|3|2|3|5|3|4|4|2|4|4|2|4|2|4|4|3|4|3|4|3|4|3|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|4|4|4
14_4p|1|1986|5|4|2|3|3|4|4|4|4|4|4|4|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|4|5|5|4|4|3|3|4|4|5|3|3|4|3|5|4|3|3|3|3|3|3|3|3|3
15_4p|1|1988|5|5|2|3|4|4|3|4|3|3|1|2|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|5|1|3|2|5|3|2|1|4|1|2|3|2|4|1|2|2|2|5|3|3|3|3|3|3|3|4|4|4
16_4p|1|1991|3|1|2|3|2|3|3|3|4|4|4|4|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|2|2|1|1|1|1|1|1|1|1|1|1|1|3|2|3|3|3|3|2|2|2|2|2|2|3|2|3
17_4p|1|1993|4|3|3|5|4|3|3|3|3|3|3|3|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|1|1|1|4|2|1|2|1|3|3|3|4|4|3|2|2|2|2|2|2|2|3|3|3|3|3|3
18_4p|1|1994|4|4|2|4|3|3|3|2|3|2|3|3|2|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|5|3|5|3|5|3|5|3|5|3|5|4|3|4|3|4|5|3|4|3|4|3|3|3|3|3|3|4|3|4
21_4p|1|1990|3|2|4|2|3|4|4|4|5|4|4|4|4|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|6|1|5|3|5|3|2|1|3|3|1|5|5|5|4|4|2|1|4|3|2|2|2|2|2|2|4|4|4
22_4p|1|1983|5|4|4|4|5|4|5|5|5|4|3|3|3|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|6|1|1|2|5|2|2|1|5|1|1|5|3|6|1|2|1|1|1|5|2|2|2|2|2|2|4|4|4
24_4p|1|1982|6|4|4|3|4|4|5|4|4|4|4|4|5|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|5|2|2|3|4|4|2|4|2|3|1|3|3|4|2|1|1|3|5|3|3|3|3|3|3|3|3|3|3
2_5p|2|1969|4|4|3|4|4|4|4|4|3|4|3|3|3|4|3|2|2|3|2|3|2|2|2|3|3|2|3|2|5|2|2|2|3|2|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|2|2|2|4|4|4
3_5p|1|1986|6|2|1|3|2|2|2|1|1|4|3|3|4|5|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|4|4|2|5|1|4|2|5|4|2|3|2|3|3|2|2|4|3|5|4|2|2|2|2|2|2|3|3|3
4_5p|2|1978|6|3|4|3|3|4|5|4|3|4|4|4|4|4|3|5|3|4|5|3|4|2|3|4|4|2|5|4|3|4|4|2|4|5|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|2|3|3|3|3|3|3
5_5p|2|1995|5|3|3|4|4|2|4|3|3|3|2|3|3|3|2|4|2|2|3|3|2|2|1|3|4|1|3|5|4|4|2|4|2|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|4|4|4
6_5p|2|1991|6|2|4|3|2|1|2|1|3|3|4|2|2|2|4|2|1|1|1|4|3|3|4|3|1|4|3|3|4|1|3|3|4|2|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|3|3|3|3|3|3|3|3
8_5p|1|1972|4|4|3|4|4|4|4|4|4|4|4|3|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|3|1|1|3|2|2|3|4|3|4|3|3|3|2|3|4|3|4|4|3|4|3|3|3|3|3|3|3|3|3
9_5p|2|1998|4|4|1|3|4|4|4|4|4|4|3|3|3|3|3|3|3|3|4|4|3|3|4|3|1|2|4|4|4|4|3|4|4|4|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|3|2|3|3|3|3|3|3
10_5p|1|1984|5|3|2|3|2|3|3|2|4|2|4|2|3|2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|5|4|3|5|3|5|5|3|4|3|4|4|3|4|3|4|4|3|4|3|4|3|3|3|3|3|3|2|2|2
11_5p|2|1988|5|4|3|4|2|4|4|3|4|3|4|3|4|3|5|4|5|2|5|4|5|4|5|4|5|5|5|2|5|5|5|4|4|5|4|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|2|3|2|2|2|4|4|4
12_5p|1|1991|3|3|3|4|4|3|3|3|3|3|4|3|3|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|6|1|6|2|2|1|2|1|6|4|2|6|1|4|6|6|3|1|3|3|2|2|2|2|2|2|3|3|3
17_5p|1|1985|4|3|4|4|4|5|4|3|2|3|4|3|4|3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|4|3|2|2|3|3|2|3|3|4|4|2|3|3|3|3|4|5|3|3|4|2|2|2|2|3|3|3|3|3
